,nearest_miles,Intensity_5 miles,Intensity_10 miles,Intensity_20 miles,Intensity_30 miles,intensity_50 miles,Intensity_100 miles,Intensity_200 miles,,
2466,9,0,1,2,4,9,15,44,,
2467,5,0,1,3,3,9,15,43,,
2471,5,0,2,2,3,9,16,43,,
2472,5,0,2,2,3,9,16,43,,
2474,5,0,2,2,3,9,16,43,,
2478,6,0,2,2,3,9,16,43,,
2481,10,0,0,3,4,9,15,44,,
2482,12,0,0,3,4,9,15,44,,
2492,10,0,0,3,4,8,15,44,,
2493,12,0,0,2,6,9,15,44,,
2494,9,0,1,3,4,9,15,44,,
2540,18,0,0,1,1,4,10,40,,
2554,28,0,0,0,1,1,6,27,,
2556,17,0,0,1,1,4,11,40,,
2559,16,0,0,1,1,4,12,40,,
2563,10,0,0,1,1,4,11,38,,
2584,29,0,0,0,1,1,6,26,,
2601,0,1,1,1,1,2,9,33,,
2630,3,1,1,1,1,2,11,33,,
2632,2,1,1,1,1,2,11,34,,
2642,19,0,0,1,1,1,8,26,,
2653,18,0,0,1,1,1,8,26,,
2664,5,0,1,1,1,1,7,31,,
2702,18,0,0,1,3,7,14,45,,
2703,9,0,1,3,3,6,17,45,,
2712,13,0,0,2,4,6,17,45,,
2718,14,0,0,1,3,7,14,44,,
2719,28,0,0,0,2,4,14,43,,
2720,15,0,0,2,3,5,16,45,,
2721,14,0,0,2,3,5,16,45,,
2722,14,0,0,2,3,5,16,45,,
2726,14,0,0,2,3,6,16,45,,
2740,26,0,0,0,2,4,14,45,,
2741,26,0,0,0,2,4,14,45,,
2745,25,0,0,0,3,5,14,44,,
2747,23,0,0,0,2,4,14,45,,
2762,13,0,0,2,5,7,17,46,,
2764,13,0,0,3,3,7,16,45,,
2766,11,0,0,2,4,6,16,44,,
2767,11,0,0,1,3,7,14,44,,
2777,10,0,0,2,3,6,16,45,,
2780,13,0,0,2,3,7,14,44,,
2809,9,0,1,2,2,6,16,45,,
2816,7,0,1,2,2,5,18,45,,
2817,10,0,0,2,2,5,21,45,,
2818,5,0,1,2,2,5,16,45,,
2840,17,0,0,1,2,4,14,43,,
2842,15,0,0,1,2,4,14,43,,
2852,8,0,1,2,2,5,16,45,,
2861,5,0,1,2,3,6,17,45,,
2864,9,0,1,2,4,7,17,46,,
2865,6,0,1,2,3,7,17,46,,
2871,12,0,0,2,2,4,15,44,,
2879,19,0,0,1,2,3,19,44,,
2886,0,1,2,2,2,6,17,44,,
2888,3,2,2,2,2,6,17,45,,
2889,2,1,2,2,2,6,16,44,,
2891,15,0,0,1,1,3,20,48,,
2892,16,0,0,1,3,4,19,45,,
2893,3,1,1,2,2,5,17,45,,
2895,13,0,0,1,4,7,17,46,,
2896,12,0,0,2,4,7,17,46,,
2901,0,1,2,2,3,7,17,45,,
2902,0,1,2,2,3,7,17,45,,
2903,0,1,2,2,3,7,17,45,,
2904,2,1,1,2,3,7,17,45,,
2905,2,1,2,2,3,6,17,45,,
2906,1,1,2,2,3,7,17,45,,
2907,1,1,2,2,3,6,17,45,,
2908,1,1,2,2,3,7,17,45,,
2910,3,1,2,2,3,6,17,45,,
2914,2,1,2,2,3,7,17,45,,
2915,4,1,2,2,3,6,17,45,,
2917,8,0,1,2,4,8,18,46,,
2919,4,1,2,2,2,6,18,45,,
2920,4,2,2,2,2,6,18,45,,
3031,7,0,1,2,3,8,15,44,,
3038,13,0,0,2,4,6,15,39,,
3051,4,1,1,2,4,7,16,43,,
3053,9,0,2,2,3,7,14,40,,
3054,6,0,2,2,3,7,15,42,,
3055,8,0,1,3,3,8,15,45,,
3060,2,1,1,2,4,7,16,43,,
3061,1,1,1,3,4,7,16,45,,
3062,3,1,1,3,4,8,16,45,,
3063,0,1,1,3,4,7,16,44,,
3079,15,0,0,2,4,8,14,39,,
3082,16,0,0,2,3,6,15,45,,
3101,0,1,1,2,2,6,14,40,,
3102,2,1,1,2,2,6,14,40,,
3103,2,1,1,2,2,6,14,40,,
3105,2,1,1,2,2,6,14,39,,
3106,4,1,1,1,2,5,14,37,,
3110,4,1,1,2,3,7,14,40,,
3225,29,0,0,0,1,3,12,29,,
3242,21,0,0,0,1,4,15,40,,
3247,39,0,0,0,0,2,11,30,,
3257,39,0,0,0,0,2,14,34,,
3264,53,0,0,0,0,0,10,29,,
3276,32,0,0,0,0,3,12,32,,
3301,14,0,0,1,2,4,14,35,,
3302,17,0,0,1,1,4,14,35,,
3431,14,0,0,1,1,4,17,48,,
3458,22,0,0,0,3,5,17,45,,
3750,38,0,0,0,0,2,10,30,,
3755,35,0,0,0,0,2,10,30,,
3773,39,0,0,0,0,3,15,39,,
3784,33,0,0,0,0,2,10,33,,
3801,0,1,1,1,1,5,11,31,,
3802,1,1,1,1,1,5,11,29,,
3820,10,0,0,1,1,4,12,29,,
3833,11,0,0,1,2,5,13,32,,
3839,17,0,0,1,1,4,11,29,,
3841,16,0,0,2,4,6,14,36,,
3842,9,0,1,1,1,5,13,31,,
3857,8,0,1,1,2,5,12,31,,
3862,6,0,1,1,1,5,13,31,,
3865,21,0,0,0,4,6,14,35,,
3867,19,0,0,1,1,4,11,29,,
3874,12,0,0,1,1,5,13,32,,
3885,6,0,1,1,2,5,13,31,,
3886,52,0,0,0,0,0,10,25,,
3903,4,1,1,1,1,5,12,29,,
4005,13,0,0,1,1,2,8,25,,
4011,25,0,0,0,1,2,5,20,,
4072,10,0,0,1,1,2,8,25,,
4074,4,1,1,1,1,2,7,24,,
4084,15,0,0,1,1,2,7,24,,
4092,5,0,1,1,1,2,7,23,,
4101,3,1,1,1,1,2,7,23,,
4102,2,1,1,1,1,2,7,23,,
4103,4,1,1,1,1,2,7,23,,
4106,0,1,1,1,1,2,7,24,,
4112,5,0,1,1,1,1,6,23,,
4122,2,1,1,1,1,2,7,24,,
4210,31,0,0,0,0,2,5,20,,
4212,31,0,0,0,0,2,5,20,,
4217,47,0,0,0,0,1,5,21,,
4240,28,0,0,0,1,2,5,20,,
4260,23,0,0,0,1,2,5,22,,
4330,0,1,1,1,1,1,3,19,,
4336,1,1,1,1,1,1,3,19,,
4401,0,1,1,1,1,1,2,10,,
4468,9,0,1,1,1,1,2,8,,
4543,25,0,0,0,1,2,4,20,,
4572,23,0,0,0,1,2,4,20,,
4605,25,0,0,0,1,1,2,9,,
4609,40,0,0,0,0,1,2,9,,
4622,44,0,0,0,0,1,2,6,,
4769,0,2,2,2,2,2,2,4,,
4843,34,0,0,0,0,2,3,17,,
4901,14,0,0,1,1,2,3,17,,
4947,56,0,0,0,0,0,3,15,,
5001,31,0,0,0,0,2,10,33,,
5033,27,0,0,0,1,2,9,28,,
5055,34,0,0,0,0,2,9,33,,
5060,23,0,0,0,2,3,7,30,,
5101,18,0,0,1,1,2,14,47,,
5201,32,0,0,0,0,3,12,52,,
5254,31,0,0,0,0,4,12,50,,
5301,7,0,1,1,1,2,17,51,,
5302,5,0,1,1,1,2,17,51,,
5352,27,0,0,0,1,3,13,54,,
5401,0,1,1,1,1,2,4,21,,
5402,4,1,1,1,1,2,4,21,,
5403,2,1,1,1,1,2,4,21,,
5446,4,1,1,1,1,2,4,20,,
5466,4,1,1,1,1,2,4,20,,
5478,23,0,0,0,1,2,3,18,,
5482,6,0,1,1,1,2,4,23,,
5495,6,0,1,1,2,2,4,23,,
5601,4,1,1,1,1,3,6,27,,
5641,5,0,1,1,1,3,6,26,,
5654,9,0,1,1,1,3,6,28,,
5661,20,0,0,0,1,2,3,21,,
5676,10,0,0,1,2,2,4,25,,
5701,0,1,1,1,1,3,9,39,,
5751,9,0,1,1,1,2,9,36,,
5753,29,0,0,0,1,3,6,30,,
5829,51,0,0,0,0,0,2,17,,
6001,9,0,1,2,3,7,30,59,,
6002,6,0,1,2,3,6,29,58,,
6010,10,0,0,2,3,8,30,59,,
6011,9,0,1,2,3,9,30,59,,
6020,13,0,0,1,3,6,29,58,,
6023,10,0,0,2,3,8,31,58,,
6032,8,0,1,2,4,7,30,59,,
6033,7,0,1,1,3,6,29,57,,
6034,11,0,0,2,3,8,31,59,,
6037,11,0,0,2,3,8,30,59,,
6039,30,0,0,0,0,5,29,61,,
6040,7,0,1,1,2,6,29,56,,
6045,8,0,1,1,2,6,29,56,,
6050,8,0,1,2,3,8,31,59,,
6051,8,0,1,2,3,8,31,59,,
6052,9,0,1,2,3,8,30,59,,
6053,8,0,1,2,3,8,30,59,,
6066,12,0,0,2,2,6,26,55,,
6067,7,0,1,1,3,7,31,57,,
6070,10,0,0,2,3,5,29,58,,
6073,8,0,1,1,2,7,31,57,,
6074,7,0,1,2,2,6,27,55,,
